method,n_estimators,learning_rate,num_leaves,max_depth,accuracy,macro_precision,macro_recall,macro_f1_score,training_time_seconds,prediction_time_ms_per_roi,samples_evaluated,classes_evaluated,class_labels,per_class_precision,per_class_recall,per_class_f1_score,per_class_support,confusion_matrix
LightGBM,100,0.03,15,5,0.650976772804184,0.5797611432724105,0.466188591891384,0.4937319174787696,1.3653170999896247,0.007826518996578146,6501,12,"['Apple', 'Avocado', 'Banana', 'Grape', 'Mango', 'Melon', 'Orange', 'Peach', 'Pear', 'Tomato', 'train', 'validation']","{'Apple': 0.75, 'Avocado': 0.8329207920792079, 'Banana': 0.5642201834862385, 'Grape': 0.6080332409972299, 'Mango': 0.7349397590361446, 'Melon': 0.45161290322580644, 'Orange': 0.5673846153846154, 'Peach': 0.9193548387096774, 'Pear': 0.8095238095238095, 'Tomato': 0.7191435768261965, 'train': 0.0, 'validation': 0.0}","{'Apple': 0.4864864864864865, 'Avocado': 0.870071105365223, 'Banana': 0.6780595369349504, 'Grape': 0.5606641123882503, 'Mango': 0.3485714285714286, 'Melon': 0.23595505617977527, 'Orange': 0.7927773000859846, 'Peach': 0.6551724137931034, 'Pear': 0.21518987341772153, 'Tomato': 0.7513157894736842, 'train': 0.0, 'validation': 0.0}","{'Apple': 0.5901639344262295, 'Avocado': 0.8510907366424281, 'Banana': 0.6159238858287431, 'Grape': 0.5833887043189369, 'Mango': 0.4728682170542636, 'Melon': 0.30996309963099633, 'Orange': 0.6614060258249641, 'Peach': 0.7651006711409396, 'Pear': 0.34, 'Tomato': 0.7348777348777349, 'train': 0.0, 'validation': 0.0}","{'Apple': 333, 'Avocado': 1547, 'Banana': 907, 'Grape': 783, 'Mango': 175, 'Melon': 178, 'Orange': 1163, 'Peach': 87, 'Pear': 79, 'Tomato': 760, 'train': 0, 'validation': 489}","[[162, 21, 46, 17, 0, 4, 48, 0, 0, 31, 4, 0], [1, 1346, 40, 66, 0, 1, 71, 0, 0, 20, 2, 0], [11, 36, 615, 41, 3, 9, 142, 1, 0, 35, 14, 0], [10, 107, 66, 439, 2, 3, 130, 0, 1, 10, 15, 0], [0, 17, 26, 8, 61, 4, 38, 0, 1, 19, 1, 0], [1, 10, 65, 13, 0, 42, 26, 0, 1, 11, 9, 0], [10, 28, 67, 40, 3, 22, 922, 4, 0, 61, 6, 0], [0, 0, 8, 0, 0, 0, 12, 57, 0, 10, 0, 0], [5, 1, 34, 4, 1, 1, 9, 0, 17, 4, 3, 0], [8, 34, 30, 16, 10, 4, 74, 0, 0, 571, 13, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [8, 16, 93, 78, 3, 3, 153, 0, 1, 22, 112, 0]]"
LightGBM,100,0.03,15,10,0.6592831872019689,0.5913358250662355,0.48345007915011756,0.5105582579764623,1.2355706000234932,0.007255237656700632,6501,12,"['Apple', 'Avocado', 'Banana', 'Grape', 'Mango', 'Melon', 'Orange', 'Peach', 'Pear', 'Tomato', 'train', 'validation']","{'Apple': 0.7531914893617021, 'Avocado': 0.8368883312421581, 'Banana': 0.5798319327731093, 'Grape': 0.6, 'Mango': 0.75, 'Melon': 0.5, 'Orange': 0.5778894472361809, 'Peach': 0.9393939393939394, 'Pear': 0.8260869565217391, 'Tomato': 0.7327478042659975, 'train': 0.0, 'validation': 0.0}","{'Apple': 0.5315315315315315, 'Avocado': 0.8623141564318035, 'Banana': 0.6846747519294377, 'Grape': 0.5862068965517241, 'Mango': 0.36, 'Melon': 0.2640449438202247, 'Orange': 0.7910576096302665, 'Peach': 0.7126436781609196, 'Pear': 0.24050632911392406, 'Tomato': 0.7684210526315789, 'train': 0.0, 'validation': 0.0}","{'Apple': 0.6232394366197183, 'Avocado': 0.8494110156001273, 'Banana': 0.627906976744186, 'Grape': 0.5930232558139535, 'Mango': 0.4864864864864865, 'Melon': 0.34558823529411764, 'Orange': 0.6678765880217786, 'Peach': 0.8104575163398693, 'Pear': 0.37254901960784315, 'Tomato': 0.7501605651894669, 'train': 0.0, 'validation': 0.0}","{'Apple': 333, 'Avocado': 1547, 'Banana': 907, 'Grape': 783, 'Mango': 175, 'Melon': 178, 'Orange': 1163, 'Peach': 87, 'Pear': 79, 'Tomato': 760, 'train': 0, 'validation': 489}","[[177, 18, 43, 19, 1, 3, 45, 0, 0, 24, 3, 0], [1, 1334, 41, 78, 0, 1, 73, 0, 0, 19, 0, 0], [12, 35, 621, 42, 2, 8, 140, 0, 0, 37, 10, 0], [10, 97, 62, 459, 2, 3, 127, 0, 0, 11, 12, 0], [0, 20, 22, 10, 63, 3, 37, 0, 1, 16, 3, 0], [1, 11, 60, 14, 0, 47, 27, 0, 1, 9, 8, 0], [10, 30, 71, 37, 5, 19, 920, 4, 0, 57, 10, 0], [0, 1, 4, 0, 0, 0, 11, 62, 0, 9, 0, 0], [6, 1, 31, 6, 1, 1, 8, 0, 19, 4, 2, 0], [9, 33, 26, 16, 8, 6, 66, 0, 0, 584, 12, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [9, 14, 90, 84, 2, 3, 138, 0, 2, 27, 120, 0]]"
LightGBM,100,0.03,15,-1,0.6594370096908168,0.5920657716279154,0.48270083899232336,0.5100061863149693,1.4456519999948796,0.007270419935557869,6501,12,"['Apple', 'Avocado', 'Banana', 'Grape', 'Mango', 'Melon', 'Orange', 'Peach', 'Pear', 'Tomato', 'train', 'validation']","{'Apple': 0.7478260869565218, 'Avocado': 0.8375156838143036, 'Banana': 0.5850467289719626, 'Grape': 0.6005221932114883, 'Mango': 0.7380952380952381, 'Melon': 0.5274725274725275, 'Orange': 0.5768025078369906, 'Peach': 0.9393939393939394, 'Pear': 0.8260869565217391, 'Tomato': 0.726027397260274, 'train': 0.0, 'validation': 0.0}","{'Apple': 0.5165165165165165, 'Avocado': 0.8629605688429218, 'Banana': 0.6901874310915105, 'Grape': 0.5874840357598978, 'Mango': 0.35428571428571426, 'Melon': 0.2696629213483146, 'Orange': 0.7910576096302665, 'Peach': 0.7126436781609196, 'Pear': 0.24050632911392406, 'Tomato': 0.7671052631578947, 'train': 0.0, 'validation': 0.0}","{'Apple': 0.61101243339254, 'Avocado': 0.8500477554918816, 'Banana': 0.6332827516439049, 'Grape': 0.5939315687540349, 'Mango': 0.47876447876447875, 'Melon': 0.35687732342007433, 'Orange': 0.6671501087744742, 'Peach': 0.8104575163398693, 'Pear': 0.37254901960784315, 'Tomato': 0.746001279590531, 'train': 0.0, 'validation': 0.0}","{'Apple': 333, 'Avocado': 1547, 'Banana': 907, 'Grape': 783, 'Mango': 175, 'Melon': 178, 'Orange': 1163, 'Peach': 87, 'Pear': 79, 'Tomato': 760, 'train': 0, 'validation': 489}","[[172, 19, 42, 20, 1, 2, 48, 0, 0, 26, 3, 0], [1, 1335, 40, 75, 0, 1, 74, 0, 0, 20, 1, 0], [12, 34, 626, 39, 2, 8, 140, 0, 0, 35, 11, 0], [10, 97, 61, 460, 3, 4, 122, 0, 0, 12, 14, 0], [0, 19, 23, 9, 62, 3, 38, 0, 1, 18, 2, 0], [1, 11, 59, 13, 0, 48, 27, 0, 1, 10, 8, 0], [11, 29, 69, 40, 6, 18, 920, 4, 0, 58, 8, 0], [0, 1, 4, 0, 0, 0, 11, 62, 0, 9, 0, 0], [5, 1, 30, 6, 1, 1, 8, 0, 19, 6, 2, 0], [9, 35, 29, 18, 7, 3, 64, 0, 0, 583, 12, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [9, 13, 87, 86, 2, 3, 143, 0, 2, 26, 118, 0]]"
LightGBM,100,0.03,31,5,0.6723580987540378,0.5995820859169354,0.48370380152831993,0.5123656464758204,1.9567422999825794,0.010048438702115307,6501,12,"['Apple', 'Avocado', 'Banana', 'Grape', 'Mango', 'Melon', 'Orange', 'Peach', 'Pear', 'Tomato', 'train', 'validation']","{'Apple': 0.8108108108108109, 'Avocado': 0.8504034761018001, 'Banana': 0.5920679886685553, 'Grape': 0.62, 'Mango': 0.6818181818181818, 'Melon': 0.5581395348837209, 'Orange': 0.5942750466708152, 'Peach': 0.9354838709677419, 'Pear': 0.8095238095238095, 'Tomato': 0.742462311557789, 'train': 0.0, 'validation': 0.0}","{'Apple': 0.5405405405405406, 'Avocado': 0.885585003232062, 'Banana': 0.6912899669239251, 'Grape': 0.5938697318007663, 'Mango': 0.34285714285714286, 'Melon': 0.2696629213483146, 'Orange': 0.821152192605331, 'Peach': 0.6666666666666666, 'Pear': 0.21518987341772153, 'Tomato': 0.7776315789473685, 'train': 0.0, 'validation': 0.0}","{'Apple': 0.6486486486486487, 'Avocado': 0.8676377454084864, 'Banana': 0.6378433367243134, 'Grape': 0.6066536203522505, 'Mango': 0.45627376425855515, 'Melon': 0.36363636363636365, 'Orange': 0.6895306859205776, 'Peach': 0.7785234899328859, 'Pear': 0.34, 'Tomato': 0.7596401028277635, 'train': 0.0, 'validation': 0.0}","{'Apple': 333, 'Avocado': 1547, 'Banana': 907, 'Grape': 783, 'Mango': 175, 'Melon': 178, 'Orange': 1163, 'Peach': 87, 'Pear': 79, 'Tomato': 760, 'train': 0, 'validation': 489}","[[180, 18, 44, 19, 1, 1, 43, 0, 0, 24, 3, 0], [2, 1370, 34, 64, 0, 1, 61, 0, 0, 14, 1, 0], [6, 32, 627, 41, 6, 5, 138, 0, 1, 34, 17, 0], [8, 96, 58, 465, 4, 3, 121, 0, 1, 11, 16, 0], [0, 16, 24, 11, 60, 2, 39, 0, 0, 20, 3, 0], [3, 9, 58, 10, 1, 48, 25, 0, 1, 12, 11, 0], [6, 24, 55, 39, 5, 17, 955, 3, 1, 53, 5, 0], [0, 0, 6, 0, 0, 0, 13, 58, 0, 9, 1, 0], [2, 1, 34, 5, 1, 1, 11, 0, 17, 3, 4, 0], [7, 28, 28, 19, 8, 3, 63, 0, 0, 591, 13, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [8, 17, 91, 77, 2, 5, 138, 1, 0, 25, 125, 0]]"
LightGBM,100,0.03,31,10,0.6963544070143055,0.6146748239924776,0.5215598968102916,0.546912966276642,1.9122413999866694,0.020311582830520092,6501,12,"['Apple', 'Avocado', 'Banana', 'Grape', 'Mango', 'Melon', 'Orange', 'Peach', 'Pear', 'Tomato', 'train', 'validation']","{'Apple': 0.7950819672131147, 'Avocado': 0.859638178415471, 'Banana': 0.6319311663479924, 'Grape': 0.630461922596754, 'Mango': 0.7450980392156863, 'Melon': 0.5277777777777778, 'Orange': 0.6486301369863013, 'Peach': 0.9295774647887324, 'Pear': 0.84, 'Tomato': 0.7679012345679013, 'train': 0.0, 'validation': 0.0}","{'Apple': 0.5825825825825826, 'Avocado': 0.8907563025210085, 'Banana': 0.7287761852260198, 'Grape': 0.644955300127714, 'Mango': 0.4342857142857143, 'Melon': 0.3202247191011236, 'Orange': 0.8142734307824592, 'Peach': 0.7586206896551724, 'Pear': 0.26582278481012656, 'Tomato': 0.8184210526315789, 'train': 0.0, 'validation': 0.0}","{'Apple': 0.6724436741767764, 'Avocado': 0.8749206349206349, 'Banana': 0.6769073220686124, 'Grape': 0.6376262626262627, 'Mango': 0.5487364620938628, 'Melon': 0.3986013986013986, 'Orange': 0.7220739611132291, 'Peach': 0.8354430379746836, 'Pear': 0.40384615384615385, 'Tomato': 0.7923566878980892, 'train': 0.0, 'validation': 0.0}","{'Apple': 333, 'Avocado': 1547, 'Banana': 907, 'Grape': 783, 'Mango': 175, 'Melon': 178, 'Orange': 1163, 'Peach': 87, 'Pear': 79, 'Tomato': 760, 'train': 0, 'validation': 489}","[[194, 19, 45, 17, 0, 2, 30, 0, 0, 22, 4, 0], [0, 1378, 26, 73, 0, 4, 50, 0, 0, 16, 0, 0], [7, 32, 661, 40, 6, 7, 111, 1, 0, 26, 16, 0], [9, 82, 46, 505, 5, 4, 100, 0, 2, 12, 18, 0], [0, 18, 21, 11, 76, 3, 27, 0, 1, 16, 2, 0], [4, 11, 50, 9, 1, 57, 24, 0, 0, 11, 11, 0], [10, 22, 52, 44, 6, 17, 947, 3, 0, 54, 8, 0], [1, 1, 4, 0, 0, 0, 6, 66, 0, 8, 1, 0], [3, 1, 30, 4, 1, 1, 11, 1, 21, 1, 5, 0], [6, 24, 23, 16, 4, 6, 50, 0, 0, 622, 9, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [10, 15, 88, 82, 3, 7, 104, 0, 1, 22, 157, 0]]"
LightGBM,100,0.03,31,-1,0.6962005845254576,0.6159705395801623,0.5216784102896408,0.5480035854801335,2.1888139999937266,0.00985872942361642,6501,12,"['Apple', 'Avocado', 'Banana', 'Grape', 'Mango', 'Melon', 'Orange', 'Peach', 'Pear', 'Tomato', 'train', 'validation']","{'Apple': 0.7991803278688525, 'Avocado': 0.8589185829707893, 'Banana': 0.6244087038789026, 'Grape': 0.635678391959799, 'Mango': 0.7281553398058253, 'Melon': 0.5233644859813084, 'Orange': 0.6512749827705031, 'Peach': 0.9565217391304348, 'Pear': 0.8461538461538461, 'Tomato': 0.7679900744416873, 'train': 0.0, 'validation': 0.0}","{'Apple': 0.5855855855855856, 'Avocado': 0.8933419521654816, 'Banana': 0.7276736493936052, 'Grape': 0.6462324393358876, 'Mango': 0.42857142857142855, 'Melon': 0.3146067415730337, 'Orange': 0.8125537403267412, 'Peach': 0.7586206896551724, 'Pear': 0.27848101265822783, 'Tomato': 0.8144736842105263, 'train': 0.0, 'validation': 0.0}","{'Apple': 0.6759098786828422, 'Avocado': 0.8757921419518377, 'Banana': 0.6720977596741344, 'Grape': 0.6409119696010133, 'Mango': 0.539568345323741, 'Melon': 0.3929824561403509, 'Orange': 0.7230298393267024, 'Peach': 0.8461538461538461, 'Pear': 0.41904761904761906, 'Tomato': 0.7905491698595147, 'train': 0.0, 'validation': 0.0}","{'Apple': 333, 'Avocado': 1547, 'Banana': 907, 'Grape': 783, 'Mango': 175, 'Melon': 178, 'Orange': 1163, 'Peach': 87, 'Pear': 79, 'Tomato': 760, 'train': 0, 'validation': 489}","[[195, 19, 44, 16, 0, 3, 29, 0, 0, 24, 3, 0], [1, 1382, 23, 73, 0, 4, 50, 0, 0, 14, 0, 0], [7, 30, 660, 41, 6, 7, 113, 0, 0, 28, 15, 0], [9, 83, 52, 506, 5, 4, 95, 0, 2, 9, 18, 0], [0, 17, 23, 11, 75, 2, 27, 0, 1, 16, 3, 0], [4, 11, 51, 9, 1, 56, 24, 0, 0, 11, 11, 0], [10, 23, 49, 41, 8, 19, 945, 3, 0, 55, 10, 0], [1, 1, 4, 0, 0, 0, 5, 66, 0, 9, 1, 0], [3, 1, 32, 4, 1, 1, 9, 0, 22, 1, 5, 0], [6, 27, 26, 15, 5, 6, 49, 0, 0, 619, 7, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [8, 15, 93, 80, 2, 5, 105, 0, 1, 20, 160, 0]]"
LightGBM,100,0.03,63,5,0.6711275188432548,0.5996555510334635,0.4820764731206191,0.5098851674576731,1.3828568999888375,0.010348930930042027,6501,12,"['Apple', 'Avocado', 'Banana', 'Grape', 'Mango', 'Melon', 'Orange', 'Peach', 'Pear', 'Tomato', 'train', 'validation']","{'Apple': 0.7963800904977375, 'Avocado': 0.8508663366336634, 'Banana': 0.5911654135338346, 'Grape': 0.6193029490616622, 'Mango': 0.7078651685393258, 'Melon': 0.5357142857142857, 'Orange': 0.59375, 'Peach': 0.921875, 'Pear': 0.8421052631578947, 'Tomato': 0.7368421052631579, 'train': 0.0, 'validation': 0.0}","{'Apple': 0.5285285285285285, 'Avocado': 0.8888170652876535, 'Banana': 0.6934950385887542, 'Grape': 0.5900383141762452, 'Mango': 0.36, 'Melon': 0.25280898876404495, 'Orange': 0.8168529664660361, 'Peach': 0.6781609195402298, 'Pear': 0.20253164556962025, 'Tomato': 0.7736842105263158, 'train': 0.0, 'validation': 0.0}","{'Apple': 0.6353790613718412, 'Avocado': 0.8694277584571609, 'Banana': 0.6382546930492136, 'Grape': 0.60431654676259, 'Mango': 0.4772727272727273, 'Melon': 0.3435114503816794, 'Orange': 0.6876583423814694, 'Peach': 0.7814569536423841, 'Pear': 0.32653061224489793, 'Tomato': 0.754813863928113, 'train': 0.0, 'validation': 0.0}","{'Apple': 333, 'Avocado': 1547, 'Banana': 907, 'Grape': 783, 'Mango': 175, 'Melon': 178, 'Orange': 1163, 'Peach': 87, 'Pear': 79, 'Tomato': 760, 'train': 0, 'validation': 489}","[[176, 18, 42, 19, 1, 2, 43, 0, 0, 27, 5, 0], [3, 1375, 32, 60, 0, 1, 63, 0, 0, 12, 1, 0], [5, 31, 629, 40, 5, 6, 134, 0, 1, 38, 18, 0], [8, 96, 58, 462, 4, 3, 125, 0, 1, 10, 16, 0], [0, 17, 26, 9, 63, 3, 35, 0, 0, 20, 2, 0], [3, 8, 62, 11, 1, 45, 26, 0, 1, 11, 10, 0], [6, 24, 55, 43, 5, 18, 950, 4, 0, 53, 5, 0], [0, 0, 7, 0, 0, 0, 12, 59, 0, 9, 0, 0], [2, 1, 33, 5, 1, 1, 12, 0, 16, 4, 4, 0], [10, 30, 28, 20, 8, 2, 62, 0, 0, 588, 12, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [8, 16, 92, 77, 1, 3, 138, 1, 0, 26, 127, 0]]"
LightGBM,100,0.03,63,10,0.724042455006922,0.6359989664118046,0.5531430578638791,0.5778851764315203,2.583496600011131,0.011095816026228441,6501,12,"['Apple', 'Avocado', 'Banana', 'Grape', 'Mango', 'Melon', 'Orange', 'Peach', 'Pear', 'Tomato', 'train', 'validation']","{'Apple': 0.8215613382899628, 'Avocado': 0.8801498127340824, 'Banana': 0.6829025844930418, 'Grape': 0.6419753086419753, 'Mango': 0.7807017543859649, 'Melon': 0.5573770491803278, 'Orange': 0.6931818181818182, 'Peach': 0.9571428571428572, 'Pear': 0.8214285714285714, 'Tomato': 0.7955665024630542, 'train': 0.0, 'validation': 0.0}","{'Apple': 0.6636636636636637, 'Avocado': 0.9114414996767938, 'Banana': 0.7574421168687983, 'Grape': 0.6641123882503193, 'Mango': 0.5085714285714286, 'Melon': 0.38202247191011235, 'Orange': 0.8392089423903697, 'Peach': 0.7701149425287356, 'Pear': 0.2911392405063291, 'Tomato': 0.85, 'train': 0.0, 'validation': 0.0}","{'Apple': 0.7342192691029901, 'Avocado': 0.8955223880597015, 'Banana': 0.7182435964453737, 'Grape': 0.6528562460765851, 'Mango': 0.615916955017301, 'Melon': 0.4533333333333333, 'Orange': 0.7592376507195644, 'Peach': 0.8535031847133758, 'Pear': 0.42990654205607476, 'Tomato': 0.821882951653944, 'train': 0.0, 'validation': 0.0}","{'Apple': 333, 'Avocado': 1547, 'Banana': 907, 'Grape': 783, 'Mango': 175, 'Melon': 178, 'Orange': 1163, 'Peach': 87, 'Pear': 79, 'Tomato': 760, 'train': 0, 'validation': 489}","[[221, 9, 31, 17, 0, 3, 32, 0, 0, 16, 4, 0], [0, 1410, 22, 64, 0, 4, 28, 0, 0, 18, 1, 0], [4, 24, 687, 45, 7, 9, 91, 1, 1, 24, 14, 0], [9, 78, 43, 520, 5, 5, 83, 0, 1, 12, 27, 0], [2, 15, 19, 10, 89, 3, 21, 0, 0, 12, 4, 0], [3, 8, 40, 10, 1, 68, 24, 0, 1, 10, 13, 0], [10, 22, 34, 38, 6, 16, 976, 1, 0, 50, 10, 0], [1, 0, 6, 0, 0, 0, 6, 67, 0, 6, 1, 0], [2, 1, 29, 5, 1, 2, 7, 1, 23, 2, 6, 0], [6, 21, 14, 19, 3, 6, 44, 0, 0, 646, 1, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [11, 14, 81, 82, 2, 6, 96, 0, 2, 16, 179, 0]]"
LightGBM,100,0.03,63,-1,0.7245039224734656,0.6438512684092919,0.5535552896708785,0.5810333480460307,2.651885900006164,0.011061867408570744,6501,12,"['Apple', 'Avocado', 'Banana', 'Grape', 'Mango', 'Melon', 'Orange', 'Peach', 'Pear', 'Tomato', 'train', 'validation']","{'Apple': 0.8283582089552238, 'Avocado': 0.8836045056320401, 'Banana': 0.6794493608652901, 'Grape': 0.6488833746898263, 'Mango': 0.7739130434782608, 'Melon': 0.576271186440678, 'Orange': 0.7014388489208633, 'Peach': 0.9850746268656716, 'Pear': 0.8571428571428571, 'Tomato': 0.7920792079207921, 'train': 0.0, 'validation': 0.0}","{'Apple': 0.6666666666666666, 'Avocado': 0.9127343244990304, 'Banana': 0.7618522601984564, 'Grape': 0.6679438058748404, 'Mango': 0.5085714285714286, 'Melon': 0.38202247191011235, 'Orange': 0.8383490971625107, 'Peach': 0.7586206896551724, 'Pear': 0.3037974683544304, 'Tomato': 0.8421052631578947, 'train': 0.0, 'validation': 0.0}","{'Apple': 0.7387687188019967, 'Avocado': 0.897933227344992, 'Banana': 0.7182952182952183, 'Grape': 0.658275645059786, 'Mango': 0.6137931034482759, 'Melon': 0.4594594594594595, 'Orange': 0.763807285546416, 'Peach': 0.8571428571428571, 'Pear': 0.4485981308411215, 'Tomato': 0.8163265306122449, 'train': 0.0, 'validation': 0.0}","{'Apple': 333, 'Avocado': 1547, 'Banana': 907, 'Grape': 783, 'Mango': 175, 'Melon': 178, 'Orange': 1163, 'Peach': 87, 'Pear': 79, 'Tomato': 760, 'train': 0, 'validation': 489}","[[222, 11, 34, 15, 1, 2, 28, 0, 0, 16, 4, 0], [1, 1412, 21, 63, 0, 4, 28, 0, 0, 16, 2, 0], [3, 22, 691, 42, 7, 10, 88, 0, 1, 25, 18, 0], [5, 75, 44, 523, 4, 5, 84, 0, 1, 13, 29, 0], [0, 14, 19, 14, 89, 2, 19, 0, 0, 12, 6, 0], [3, 7, 42, 10, 0, 68, 24, 0, 1, 10, 13, 0], [10, 18, 37, 39, 7, 16, 975, 1, 0, 50, 10, 0], [1, 1, 3, 0, 0, 0, 8, 66, 0, 7, 1, 0], [2, 1, 28, 6, 1, 1, 8, 0, 24, 1, 7, 0], [11, 21, 15, 19, 3, 6, 43, 0, 0, 640, 2, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [10, 16, 83, 75, 3, 4, 85, 0, 1, 18, 194, 0]]"
LightGBM,100,0.05,15,5,0.67220427626519,0.5810689197335938,0.488697342371581,0.5140847320674479,0.95027050000499,0.007353745576540354,6501,12,"['Apple', 'Avocado', 'Banana', 'Grape', 'Mango', 'Melon', 'Orange', 'Peach', 'Pear', 'Tomato', 'train', 'validation']","{'Apple': 0.7489711934156379, 'Avocado': 0.85065339141257, 'Banana': 0.6019138755980862, 'Grape': 0.6121134020618557, 'Mango': 0.7127659574468085, 'Melon': 0.46226415094339623, 'Orange': 0.6106369008535785, 'Peach': 0.9516129032258065, 'Pear': 0.68, 'Tomato': 0.7418952618453866, 'train': 0.0, 'validation': 0.0}","{'Apple': 0.5465465465465466, 'Avocado': 0.8836457659987071, 'Banana': 0.6934950385887542, 'Grape': 0.6066411238825032, 'Mango': 0.38285714285714284, 'Melon': 0.2752808988764045, 'Orange': 0.7996560619088564, 'Peach': 0.6781609195402298, 'Pear': 0.21518987341772153, 'Tomato': 0.7828947368421053, 'train': 0.0, 'validation': 0.0}","{'Apple': 0.6319444444444444, 'Avocado': 0.8668357641090678, 'Banana': 0.6444672131147541, 'Grape': 0.6093649775497113, 'Mango': 0.49814126394052044, 'Melon': 0.34507042253521125, 'Orange': 0.6924795234549516, 'Peach': 0.7919463087248322, 'Pear': 0.3269230769230769, 'Tomato': 0.7618437900128041, 'train': 0.0, 'validation': 0.0}","{'Apple': 333, 'Avocado': 1547, 'Banana': 907, 'Grape': 783, 'Mango': 175, 'Melon': 178, 'Orange': 1163, 'Peach': 87, 'Pear': 79, 'Tomato': 760, 'train': 0, 'validation': 489}","[[182, 22, 42, 15, 1, 6, 33, 0, 0, 28, 4, 0], [3, 1367, 29, 74, 0, 1, 54, 0, 0, 18, 1, 0], [12, 30, 629, 37, 4, 9, 138, 0, 1, 30, 17, 0], [12, 95, 51, 475, 5, 4, 109, 0, 3, 10, 19, 0], [0, 15, 26, 12, 67, 4, 35, 0, 0, 14, 2, 0], [3, 11, 55, 14, 1, 49, 23, 0, 1, 11, 10, 0], [10, 25, 59, 44, 3, 21, 930, 3, 0, 59, 9, 0], [0, 0, 6, 0, 0, 0, 12, 59, 0, 9, 1, 0], [4, 1, 31, 6, 1, 1, 8, 0, 17, 5, 5, 0], [8, 26, 24, 18, 9, 7, 58, 0, 0, 595, 15, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [9, 15, 93, 81, 3, 4, 123, 0, 3, 23, 135, 0]]"
LightGBM,100,0.05,15,10,0.6820489155514536,0.6057597878182502,0.5108195335778448,0.537505966346225,1.327153599995654,0.009175419167140859,6501,12,"['Apple', 'Avocado', 'Banana', 'Grape', 'Mango', 'Melon', 'Orange', 'Peach', 'Pear', 'Tomato', 'train', 'validation']","{'Apple': 0.7529880478087649, 'Avocado': 0.8502175264139217, 'Banana': 0.612934362934363, 'Grape': 0.6059850374064838, 'Mango': 0.7553191489361702, 'Melon': 0.48695652173913045, 'Orange': 0.627751834556371, 'Peach': 0.9558823529411765, 'Pear': 0.8518518518518519, 'Tomato': 0.7692307692307693, 'train': 0.0, 'validation': 0.0}","{'Apple': 0.5675675675675675, 'Avocado': 0.8842921784098254, 'Banana': 0.7001102535832414, 'Grape': 0.6206896551724138, 'Mango': 0.4057142857142857, 'Melon': 0.3146067415730337, 'Orange': 0.8091143594153053, 'Peach': 0.7471264367816092, 'Pear': 0.2911392405063291, 'Tomato': 0.7894736842105263, 'train': 0.0, 'validation': 0.0}","{'Apple': 0.6472602739726028, 'Avocado': 0.8669201520912547, 'Banana': 0.6536284096757591, 'Grape': 0.6132492113564669, 'Mango': 0.5278810408921933, 'Melon': 0.3822525597269625, 'Orange': 0.7069872276483846, 'Peach': 0.8387096774193549, 'Pear': 0.4339622641509434, 'Tomato': 0.7792207792207793, 'train': 0.0, 'validation': 0.0}","{'Apple': 333, 'Avocado': 1547, 'Banana': 907, 'Grape': 783, 'Mango': 175, 'Melon': 178, 'Orange': 1163, 'Peach': 87, 'Pear': 79, 'Tomato': 760, 'train': 0, 'validation': 489}","[[189, 20, 41, 16, 2, 4, 37, 0, 0, 21, 3, 0], [2, 1368, 26, 82, 0, 3, 52, 0, 0, 14, 0, 0], [12, 32, 635, 39, 4, 11, 129, 0, 1, 25, 19, 0], [13, 88, 57, 486, 3, 6, 104, 0, 1, 10, 15, 0], [0, 17, 21, 12, 71, 3, 33, 0, 0, 16, 2, 0], [3, 12, 47, 15, 1, 56, 22, 0, 1, 10, 11, 0], [10, 26, 57, 44, 3, 19, 941, 3, 0, 50, 10, 0], [0, 0, 3, 0, 0, 0, 11, 65, 0, 8, 0, 0], [5, 1, 30, 6, 1, 1, 7, 0, 23, 3, 2, 0], [7, 31, 27, 17, 6, 8, 52, 0, 0, 600, 12, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [10, 14, 92, 85, 3, 4, 111, 0, 1, 23, 146, 0]]"
